director	movie	year	rating	votes	cover	fcover
Akira Kurosawa	 Madadayo	 1993	 7.5	 3318	 http://ia.media-imdb.com/images/M/MV5BNDM3OTIyNDIwMV5BMl5BanBnXkFtZTcwODg2NjEyMQ@@._V1._SX91_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BNDM3OTIyNDIwMV5BMl5BanBnXkFtZTcwODg2NjEyMQ@@.jpg
Akira Kurosawa	 Hachi-gatsu no kyôshikyoku	 1991	 7.3	 4630	 http://ia.media-imdb.com/images/M/MV5BMjE0ODQ0NTM4N15BMl5BanBnXkFtZTcwNDY0NzU2NA@@._V1._SX93_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BMjE0ODQ0NTM4N15BMl5BanBnXkFtZTcwNDY0NzU2NA@@.jpg
Akira Kurosawa	 Dreams	 1990	 7.8	 17551	 http://ia.media-imdb.com/images/M/MV5BMTg0NTI0NjU1Ml5BMl5BanBnXkFtZTgwNjEzNDk4NjE@._V1._SX93_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BMTg0NTI0NjU1Ml5BMl5BanBnXkFtZTgwNjEzNDk4NjE@.jpg
Akira Kurosawa	 Ran	 1985	 8.3	 72101	 http://ia.media-imdb.com/images/M/MV5BMjA0Nzg0NzUzNV5BMl5BanBnXkFtZTcwNzkzNjk3OA@@._V1._SX100_SY133_.jpg	 http://ia.media-imdb.com/images/M/MV5BMjA0Nzg0NzUzNV5BMl5BanBnXkFtZTcwNzkzNjk3OA@@.jpg
Akira Kurosawa	 Kagemusha	 1980	 8.0	 22399	 http://ia.media-imdb.com/images/M/MV5BMTU4NDc5Mjk5OF5BMl5BanBnXkFtZTcwMDkyNjcyMQ@@._V1._CR13,27,286,392._SX100_SY137_.jpg	 http://ia.media-imdb.com/images/M/MV5BMTU4NDc5Mjk5OF5BMl5BanBnXkFtZTcwMDkyNjcyMQ@@._V1._CR13,27,286,392._SX100_SY137_.jpg
Akira Kurosawa	 Dersu Uzala	 1975	 8.3	 16980	 http://ia.media-imdb.com/images/M/MV5BMTY3OTI5NTA2N15BMl5BanBnXkFtZTgwNjUxMDE2MTE@._V1._SX98_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BMTY3OTI5NTA2N15BMl5BanBnXkFtZTgwNjUxMDE2MTE@.jpg
Akira Kurosawa	 Dodesukaden	 1970	 7.6	 4230	 http://ia.media-imdb.com/images/M/MV5BMjMyMzgyNDQ0NV5BMl5BanBnXkFtZTgwNzI4NTQzMjE@._V1._SX50_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BMjMyMzgyNDQ0NV5BMl5BanBnXkFtZTgwNzI4NTQzMjE@.jpg
Akira Kurosawa	 Akahige	 1965	 8.3	 10758	 http://ia.media-imdb.com/images/M/MV5BMTU4NzAxMDM5M15BMl5BanBnXkFtZTYwMTI5NzA5._V1._SX99_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BMTU4NzAxMDM5M15BMl5BanBnXkFtZTYwMTI5NzA5.jpg
Akira Kurosawa	 Tengoku to jigoku	 1963	 8.4	 17035	 http://ia.media-imdb.com/images/M/MV5BMTk4MTE4NTc5NF5BMl5BanBnXkFtZTYwOTcyMjU5._V1._CR0,40,331,434._SX100_SY131_.jpg	 http://ia.media-imdb.com/images/M/MV5BMTk4MTE4NTc5NF5BMl5BanBnXkFtZTYwOTcyMjU5._V1._CR0,40,331,434._SX100_SY131_.jpg
Akira Kurosawa	 Tsubaki Sanjûrô	 1962	 8.2	 18977	 http://ia.media-imdb.com/images/M/MV5BMTA0NjgyODM1NDFeQTJeQWpwZ15BbWU4MDM5OTg0MjYx._V1._SX93_SY140_.jpg	 http://ia.media-imdb.com/images/M/MV5BMTA0NjgyODM1NDFeQTJeQWpwZ15BbWU4MDM5OTg0MjYx.jpg
